epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4335.49,1.02277,0.87062,1.17656,0.8884,0.88649,0.94161,0.71745,0.86782,0.57302,1.03817,0.00406,0.00406,0.00406
62,4406.29,1.01822,0.87025,1.17399,0.88609,0.89026,0.94236,0.71781,0.86517,0.57174,1.03631,0.003961,0.003961,0.003961
63,4476.98,1.01022,0.85716,1.17265,0.88602,0.89117,0.94286,0.71898,0.86209,0.56991,1.03499,0.003862,0.003862,0.003862
64,4547.95,1.00949,0.85424,1.16895,0.88685,0.89322,0.94389,0.72029,0.86041,0.56772,1.03404,0.003763,0.003763,0.003763
65,4619.02,1.00846,0.85185,1.16769,0.88733,0.89192,0.94319,0.72132,0.85822,0.56569,1.03274,0.003664,0.003664,0.003664
66,4689.91,1.00517,0.84641,1.16781,0.8868,0.89343,0.94347,0.72166,0.85603,0.56372,1.03154,0.003565,0.003565,0.003565
67,4760.7,0.99304,0.84236,1.16408,0.88703,0.89367,0.94371,0.72335,0.85397,0.56148,1.03027,0.003466,0.003466,0.003466
68,4831.37,0.99169,0.8392,1.16246,0.8864,0.89507,0.94427,0.72428,0.85162,0.55967,1.02904,0.003367,0.003367,0.003367
69,4902.18,0.98308,0.83001,1.15819,0.88641,0.89751,0.94508,0.7259,0.84957,0.558,1.02807,0.003268,0.003268,0.003268
70,4972.98,0.9913,0.83654,1.15848,0.8901,0.89729,0.9458,0.72665,0.84781,0.55575,1.02722,0.003169,0.003169,0.003169
71,5043.63,0.98262,0.82607,1.1553,0.89168,0.89587,0.94608,0.72752,0.84614,0.5541,1.02629,0.00307,0.00307,0.00307
72,5114.35,0.97181,0.82376,1.15065,0.89548,0.89328,0.94635,0.72835,0.84489,0.55266,1.02559,0.002971,0.002971,0.002971
73,5184.86,0.97086,0.81758,1.14815,0.89515,0.89431,0.94695,0.72889,0.84327,0.55126,1.02477,0.002872,0.002872,0.002872
74,5255.67,0.97419,0.81085,1.14996,0.89714,0.89264,0.94687,0.73023,0.84154,0.55,1.02371,0.002773,0.002773,0.002773
75,5326.47,0.9716,0.8162,1.15188,0.89683,0.89355,0.9474,0.73131,0.84003,0.54875,1.02274,0.002674,0.002674,0.002674
76,5396.94,0.96018,0.79832,1.14095,0.8969,0.89389,0.94778,0.73264,0.83838,0.54758,1.02179,0.002575,0.002575,0.002575
77,5467.42,0.95638,0.80365,1.1448,0.89737,0.89354,0.94802,0.73337,0.83698,0.54647,1.02088,0.002476,0.002476,0.002476
78,5537.94,0.96142,0.79718,1.14461,0.8987,0.89323,0.94822,0.7334,0.83529,0.54495,1.01994,0.002377,0.002377,0.002377
79,5608.86,0.95474,0.79429,1.13874,0.90005,0.89374,0.94838,0.73474,0.83381,0.54367,1.01888,0.002278,0.002278,0.002278
80,5679.94,0.94995,0.78567,1.13786,0.90116,0.89358,0.94938,0.73559,0.83215,0.54225,1.01794,0.002179,0.002179,0.002179
81,5750.87,0.94413,0.78449,1.13401,0.9,0.8952,0.94913,0.73597,0.83075,0.5409,1.01698,0.00208,0.00208,0.00208
82,5821.7,0.93911,0.77756,1.13067,0.90059,0.89565,0.95025,0.73708,0.82916,0.5396,1.01606,0.001981,0.001981,0.001981
83,5892.18,0.93869,0.76934,1.13254,0.89889,0.89641,0.94993,0.73747,0.82767,0.53829,1.01508,0.001882,0.001882,0.001882
84,5962.86,0.93267,0.77595,1.1315,0.89909,0.8966,0.95027,0.7382,0.82632,0.53714,1.01415,0.001783,0.001783,0.001783
85,6033.79,0.92706,0.76204,1.12536,0.90059,0.89615,0.951,0.73916,0.82499,0.53587,1.01321,0.001684,0.001684,0.001684
86,6104.31,0.92509,0.7601,1.1263,0.90089,0.8959,0.95069,0.7397,0.82357,0.53447,1.01238,0.001585,0.001585,0.001585
87,6174.81,0.91921,0.75474,1.12211,0.8997,0.90035,0.95143,0.74064,0.82211,0.53321,1.01154,0.001486,0.001486,0.001486
88,6245.52,0.91115,0.75139,1.11932,0.90075,0.90004,0.95176,0.7409,0.82086,0.53209,1.01067,0.001387,0.001387,0.001387
89,6316.25,0.90571,0.74557,1.11623,0.90039,0.90158,0.95203,0.7418,0.81944,0.53081,1.00988,0.001288,0.001288,0.001288
90,6386.91,0.91156,0.74942,1.12095,0.90132,0.90279,0.95227,0.74294,0.81793,0.52957,1.00899,0.001189,0.001189,0.001189
91,6494.16,0.83224,0.56742,1.06429,0.90135,0.90337,0.95271,0.74368,0.81654,0.52837,1.00812,0.00109,0.00109,0.00109
92,6564.69,0.81693,0.54789,1.06099,0.9014,0.90382,0.95297,0.74424,0.81495,0.5271,1.00717,0.000991,0.000991,0.000991
93,6635.11,0.80034,0.5365,1.04636,0.90373,0.90023,0.9531,0.74549,0.81328,0.52541,1.00623,0.000892,0.000892,0.000892
94,6705.68,0.78931,0.53074,1.04333,0.90272,0.9035,0.95357,0.74652,0.81123,0.52405,1.00501,0.000793,0.000793,0.000793
95,6776.22,0.78031,0.52363,1.04354,0.90325,0.90385,0.95395,0.74756,0.80939,0.52258,1.00385,0.000694,0.000694,0.000694
96,6846.64,0.77484,0.51857,1.03757,0.90439,0.90375,0.95458,0.74841,0.8075,0.52118,1.0027,0.000595,0.000595,0.000595
97,6917.23,0.77159,0.51151,1.03447,0.90628,0.90189,0.95477,0.75015,0.80554,0.51957,1.00154,0.000496,0.000496,0.000496
98,6987.64,0.76454,0.50607,1.02968,0.90505,0.904,0.9548,0.75113,0.80346,0.5179,1.00041,0.000397,0.000397,0.000397
99,7058.37,0.75849,0.50235,1.02863,0.90526,0.90434,0.95525,0.75217,0.80157,0.51651,0.99925,0.000298,0.000298,0.000298
100,7128.88,0.75383,0.49928,1.02665,0.90586,0.90342,0.95551,0.75282,0.7997,0.51502,0.99825,0.000199,0.000199,0.000199
