epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6534.62,0.91822,0.82782,1.17982,0.87991,0.85604,0.91083,0.67955,0.93034,0.6175,1.08151,0.004258,0.004258,0.004258
60,6643.32,0.91748,0.82389,1.17848,0.88014,0.85613,0.91114,0.68006,0.92916,0.61569,1.08056,0.004159,0.004159,0.004159
61,6751.7,0.91617,0.82199,1.17662,0.8813,0.85587,0.91145,0.68093,0.92837,0.61388,1.07976,0.00406,0.00406,0.00406
62,6860.62,0.91348,0.8162,1.17665,0.88172,0.85639,0.91189,0.6821,0.9272,0.61197,1.07875,0.003961,0.003961,0.003961
63,6969.52,0.90689,0.81166,1.17314,0.88215,0.856,0.91265,0.68246,0.92661,0.61019,1.07805,0.003862,0.003862,0.003862
64,7077.72,0.90812,0.81201,1.17242,0.88225,0.85679,0.91299,0.68324,0.92595,0.60871,1.07728,0.003763,0.003763,0.003763
65,7186.43,0.90171,0.80567,1.16852,0.88305,0.85733,0.91339,0.6838,0.92486,0.60706,1.07631,0.003664,0.003664,0.003664
66,7295.13,0.89995,0.80333,1.16849,0.88525,0.85676,0.91334,0.68444,0.92364,0.60561,1.07527,0.003565,0.003565,0.003565
67,7403.49,0.90036,0.792,1.1661,0.88248,0.85759,0.91346,0.6849,0.92263,0.60406,1.07426,0.003466,0.003466,0.003466
68,7511.82,0.90012,0.79027,1.16508,0.88292,0.85836,0.91401,0.68581,0.92133,0.60249,1.07295,0.003367,0.003367,0.003367
69,7620.59,0.89106,0.78836,1.16143,0.88451,0.85731,0.9145,0.68666,0.92012,0.60084,1.0719,0.003268,0.003268,0.003268
70,7729.37,0.89298,0.78882,1.16203,0.88486,0.85847,0.91494,0.68743,0.91901,0.59933,1.07086,0.003169,0.003169,0.003169
71,7837.6,0.88871,0.7779,1.16128,0.8849,0.85982,0.91592,0.68808,0.9178,0.59805,1.06991,0.00307,0.00307,0.00307
72,7945.95,0.87872,0.76952,1.15254,0.88427,0.86072,0.91611,0.689,0.91645,0.5965,1.06872,0.002971,0.002971,0.002971
73,8054.99,0.87936,0.77396,1.15333,0.88548,0.86074,0.91696,0.68984,0.91498,0.59449,1.06772,0.002872,0.002872,0.002872
74,8163.31,0.87692,0.77246,1.15222,0.88454,0.8618,0.91772,0.69084,0.91324,0.59257,1.06602,0.002773,0.002773,0.002773
75,8271.5,0.87228,0.76434,1.15093,0.88637,0.86125,0.91808,0.69165,0.91197,0.59074,1.06502,0.002674,0.002674,0.002674
76,8379.88,0.87372,0.76213,1.15159,0.88864,0.86086,0.91874,0.69238,0.91038,0.58898,1.06399,0.002575,0.002575,0.002575
77,8488.38,0.87013,0.75429,1.14697,0.89006,0.86083,0.91948,0.69348,0.90875,0.58725,1.06256,0.002476,0.002476,0.002476
78,8596.42,0.87148,0.75137,1.14645,0.89062,0.86148,0.92039,0.69424,0.90726,0.58568,1.06129,0.002377,0.002377,0.002377
79,8704.81,0.86689,0.75235,1.14366,0.89154,0.86214,0.92095,0.69495,0.90627,0.58425,1.06032,0.002278,0.002278,0.002278
80,8813.18,0.85855,0.74455,1.1432,0.89237,0.86201,0.92125,0.69607,0.90496,0.5825,1.05925,0.002179,0.002179,0.002179
81,8920.9,0.85492,0.73839,1.14118,0.89394,0.86187,0.9218,0.69636,0.90398,0.58095,1.05871,0.00208,0.00208,0.00208
82,9029.25,0.85449,0.73457,1.13859,0.89412,0.8624,0.92191,0.69721,0.90266,0.57935,1.05756,0.001981,0.001981,0.001981
83,9137.82,0.84684,0.72967,1.13481,0.89394,0.86269,0.92221,0.69797,0.9015,0.57784,1.05653,0.001882,0.001882,0.001882
84,9245.85,0.84262,0.7211,1.13343,0.89436,0.86322,0.92279,0.69904,0.90032,0.57601,1.05548,0.001783,0.001783,0.001783
85,9354.39,0.84789,0.73099,1.13637,0.89152,0.8665,0.9233,0.69982,0.89911,0.5745,1.05449,0.001684,0.001684,0.001684
86,9463.04,0.83773,0.72109,1.13031,0.89164,0.86733,0.92381,0.70081,0.89796,0.57284,1.05318,0.001585,0.001585,0.001585
87,9571.51,0.84176,0.71982,1.13198,0.89355,0.8672,0.92434,0.70149,0.89728,0.57115,1.05257,0.001486,0.001486,0.001486
88,9679.48,0.83451,0.70772,1.12615,0.89577,0.86663,0.92487,0.70229,0.89562,0.56958,1.0511,0.001387,0.001387,0.001387
89,9787.67,0.82783,0.70633,1.12507,0.89649,0.8665,0.92485,0.70318,0.89425,0.56801,1.0501,0.001288,0.001288,0.001288
90,9896.27,0.8258,0.69967,1.12268,0.89551,0.86913,0.92556,0.70414,0.89353,0.56661,1.04925,0.001189,0.001189,0.001189
